"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group","Created Date"
"6674","Bonikro/Mota","RD187","777","777E","-1","KDP01091",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6675","Bonikro/Mota","RD188","777","777E","-1","KDP01092",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6676","Bonikro/Mota","RD189","777","777E","-1","KDP01241",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6677","Bonikro/Mota","RD190","777","777E","-1","KDP01243",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6678","Bonikro/Mota","RD191","777","777E","-1","KDP00806",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6679","Bonikro/Mota","RD192","777","777E","-1","KDP01553",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6680","Bonikro/Mota","RD193","777","777E","-1","KDP01555",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6681","Bonikro/Mota","RD196","777","777E","0","KDP01608",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6666","Bonikro/Mota","RD202","777","777D","-1","AGC01709",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6682","Bonikro/Mota","RD213","777","777-05","-1","7W804097",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6683","Bonikro/Mota","RD214","777","777-05","-1","7W804098",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6684","Bonikro/Mota","RD215","777","777-05","-1","7W804103",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6685","Bonikro/Mota","RD216","777","777-05","-1","7W804104",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6686","Bonikro/Mota","RD217","777","777-05","-1","7W804105",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6687","Bonikro/Mota","RD219","777","777-05","-1","7W804155",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6688","Bonikro/Mota","RD220","777","777-05","-1","7W804156",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6689","Bonikro/Mota","RD232","777","777-05","-1","7W804096",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6667","Bonikro/Mota","RD61","777","777D","-1","AGC01115",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6702","Bonikro/Mota","WD13","824","824H","-1","ASX00349",,"WHEEL DOZER","CAT","WHEEL DOZER","05/11/2025"
