"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"4436","Fekola","HT050","777","777-05","-1","7W804010","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4437","Fekola","HT051","777","777-05","-1","7W804011","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6638","Fekola","HT052","777","777-05","-1","7W804095","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3913","Fekola","WT009","777 WT","777E","-1","KDP00471","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3914","Fekola","WT010","777 WT","777E","-1","KDP01487","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3871","Fekola","WT015","777 WT","777D","-1","FKR02238","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6637","Fekola","WT021","777 WT","777E","0","KDP00347","12/31/2018 8:00:00 AM","OFF-HIGHWAY TRUCK",,"OFF-HIGHWAY TRUCK"
"3915","Fekola","HT100","789","789D","-1","SPD00879","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3916","Fekola","HT101","789","789D","-1","SPD00880","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3917","Fekola","HT102","789","789D","-1","SPD00881","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3918","Fekola","HT103","789","789D","-1","SPD00882","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3919","Fekola","HT104","789","789D","-1","SPD00883","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3920","Fekola","HT105","789","789D","-1","SPD00890","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3921","Fekola","HT106","789","789D","-1","SPD00891","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3922","Fekola","HT107","789","789D","-1","SPD00892","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3923","Fekola","HT108","789","789D","-1","SPD00941","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3924","Fekola","HT109","789","789D","-1","SPD00942","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3925","Fekola","HT110","789","789D","-1","SPD00943","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3926","Fekola","HT111","789","789D","-1","SPD00964","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3927","Fekola","HT112","789","789D","-1","SPD00965","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3928","Fekola","HT113","789","789D","-1","SPD00971","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3929","Fekola","HT114","789","789D","-1","SPD01081","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3930","Fekola","HT115","789","789D","-1","SPD01083","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3931","Fekola","HT116","789","789D","-1","SPD01088","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3932","Fekola","HT117","789","789D","-1","SPD01117","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3933","Fekola","HT118","789","789D","-1","SPD01123","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3934","Fekola","HT119","789","789D","-1","SPD01133","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"3935","Fekola","CP003","825","825H","-1","AZW00429","12/31/2018 4:00:00 PM","EARTHMOVING COMPACTOR","CAT","EARTHMOVING COMPACTOR"
"6641","Fekola","CP009","825","825K","-1","2L900224","12/31/2017 4:00:00 PM","EARTHMOVING COMPACTOR","CAT","EARTHMOVING COMPACTOR"
"3936","Fekola","WD001","834","834K","-1","LWY00723","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
