Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
5592;Fderick/SNIM;FS6040N04;FS6040N04;;6040;6040;-1;6P400102;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;30/01/2025
5518;Fderick/SNIM;785D982;785D982;;785;785D;-1;MSY01023;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;30/01/2025
5519;Fderick/SNIM;785D983;785D983;;785;785D;-1;MSY01024;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;30/01/2025
5627;Fderick/SNIM;D10N37;D10N37;;D10;D10T;-1;RJG04673;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;30/01/2025
3804;Fekola;MG006;MG006;;14;14;-1;NN400215;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3805;Fekola;MG007;MG007;;14;14;-1;NN400216;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3832;Fekola;MG001;MG001;;16;16M;-1;R9H00912;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3833;Fekola;MG002;MG002;;16;16M;-1;R9H00783;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3834;Fekola;MG003;MG003;;16;16M3;-1;E9Y00256;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3806;Fekola;MG008;MG008;;16;16;0;NN500170;12/31/2018 8:00:00 AM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
6639;Fekola;TMG08;MG008;;16;16;-1;NN500170;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;18/06/2025
4530;Fekola;TMG09;TMG09;;16;16;-1;NN500171;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;18/09/2024
3808;Fekola;MG004;MG004;;18;18;-1;NN600100;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
3809;Fekola;MG005;MG005;;18;18;-1;NN600115;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
5957;Fekola;MG009;MG009;;18;;0;;12/31/2018 4:00:00 PM;;CAT;;14/02/2025
3810;Fekola;MG010;MG010;;18;18;-1;NN600198;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
4419;Fekola;MG011;MG011;;18;18;-1;NN600244;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;16/09/2024
4420;Fekola;MG012;MG012;;18;18;0;NN600231;12/31/2018 8:00:00 AM;MOTOR GRADER;CAT;MOTOR GRADER;16/09/2024
6642;Fekola;TMG12;MG012;;18;18;-1;NN600231;12/30/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;22/06/2025
3835;Fekola;SS003;SS003;;259D;259D;-1;GTK00157;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3836;Fekola;SS004;SS004;;259D;259D;-1;GTK00158;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3837;Fekola;SS006;SS006;;259D;259D;-1;GTK00160;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3838;Fekola;SS010;SS010;;259D;259D3;-1;TLS00509;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3839;Fekola;SS012;SS012;;259D;259D3;-1;TLS00556;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3840;Fekola;SS013;SS013;;259D;259D3;-1;TLS00557;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3841;Fekola;SS008;SS008;;289D;289D;-1;WCT00294;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3842;Fekola;SS011;SS011;;289D;289D3;-1;LA900515;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3843;Fekola;TSS014;TSS014;;289D;289D3;-1;LA900521;12/31/2018 4:00:00 PM;SKID STEER LOADER;CAT;SKID STEER LOADER;15/09/2024
3844;Fekola;EX006;EX006;;307.5;307E;-1;H1Y03107;12/31/2018 4:00:00 PM;MINI HYDRAULIC EXCAVATOR;CAT;MINI HYDRAULIC EXCAVATOR;15/09/2024
3845;Fekola;EX003;EX003;;329;329D L;-1;DJF01235;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3849;Fekola;EX004;EX004;;336;336D L;-1;W3K00486;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3848;Fekola;EX005;EX005;;336;336D;-1;KKT00983;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3846;Fekola;EX012;EX012;;336;336 GC;-1;JFW00883;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3847;Fekola;EX022;EX022;;336;336 GC;-1;JFW21217;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3850;Fekola;EX016;EX016;;345;345 GC;-1;KEF10188;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
3851;Fekola;EX018;EX018;;345;345 GC;-1;KEF30128;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
4452;Fekola;GN014;GN014;;3456;3456;-1;GHJ00548;12/31/2018 4:00:00 PM;ENGINE - GENERATOR SET;CAT;ENGINE - GENERATOR SET;18/09/2024
3852;Fekola;EX001;EX001;;374;374D L;-1;PAS00981;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
