"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"6624","Agbaou/Mota","D108","D7","D7R","-1","DSH00386","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6625","Agbaou/Mota","D109","D7","D7R","-1","DSH00387","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6626","Agbaou/Mota","DZ D8","D8",,"-1","HIRE","12/31/2018 4:00:00 PM",,"CAT",
"6631","Agbaou/Mota","D082","D9","D9R","-1","ABK00856","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6632","Agbaou/Mota","D096","D9","D9R","-1","WDM01514","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6633","Agbaou/Mota","D119","D9","D9R","-1","WDM04955","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6627","Agbaou/Mota","D120","D9","D9G","-1","AK400338","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6628","Agbaou/Mota","D127","D9","D9G","-1","AK400943","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6629","Agbaou/Mota","D130","D9","D9G","-1","AK401000","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6630","Agbaou/Mota","D131","D9","D9G","-1","AK401001","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6634","Agbaou/Mota","THO2","TH417","TH417C","-1","RRW00379","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
